label,duration,start.time,peak.freq(max),peak.freq(mean),peak.freq(minentire),peak.freq(maxentire),file.name
flat,0.0865,300.0284,59000,59500,55100,62000,T0000091
flat,0.0465,300.2623,53200,52700,51700,53200,T0000091
short,0.003,300.3397,56600,56100,55100,56600,T0000091
short,0.0025,300.546,62900,62900,62500,63900,T0000091
short,0.0015,315.9746,81000,81000,28300,82000,T0000091
short,0.0056,316.4103,61500,61000,57600,61500,T0000091
short,0.0005,351.1142,72200,72200,71700,72200,T0000091
flat,0.0133,354.6787,30200,30200,28800,31700,T0000091
short,0.0066,356.481,35100,35600,35100,35100,T0000091
flat harmx,0.1059,375.2406,53700,52700,51200,55100,T0000091
flat,0.1141,375.4864,51700,52200,51200,53200,T0000091
flat,0.0245,375.94,60500,60500,58500,61500,T0000091
upward ramp,0.0281,376.0199,59000,58500,54100,59500,T0000091
flat,0.0204,376.1177,58500,58100,57100,59000,T0000091
short,0.0076,376.1679,59000,58500,58500,59000,T0000091
flat,0.0225,376.2171,59500,59000,55600,60000,T0000091
step down,0.045,376.6118,62500,55600,54600,63900,T0000091
flat,0.025,376.8238,55600,55600,53700,55600,T0000091
flat,0.067,377.0408,57600,57100,56100,59500,T0000091
short,0.0005,377.2037,,56600,57100,57100,T0000091
flat,0.0296,378.8062,57100,56600,55600,57600,T0000091
short,0.0087,379.4247,82500,83000,82500,83900,T0000091
short,0.0066,382.6816,59000,58500,55100,59500,T0000091
flat,0.0373,383.0087,59500,59500,55100,60500,T0000091
flat,0.045,383.5263,54600,54100,54100,57600,T0000091
flat,0.0322,383.7301,54600,54100,53200,58100,T0000091
short,0.003,383.9273,53700,53700,53700,54100,T0000091
flat,0.1131,389.7369,56100,56600,54600,58500,T0000091
short,0.0051,390.2945,63900,63900,62500,64400,T0000091
complex,0.0419,390.4732,60500,60000,55600,61000,T0000091
short,0.002,391.2386,29700,30200,29700,30700,T0000091
short-c,0.0035,417.9798,67300,66400,62500,68300,T0000091
short,0.003,418.0249,76600,76600,75600,77100,T0000091
short harmx,0.0061,427.4682,27300,26800,25800,30700,T0000091
multi-step,0.0174,427.7319,49300,49300,33600,49800,T0000091
unclear,0.044,427.906,49800,62000,26300,65900,T0000091
flat,0.0128,428.5153,43900,43900,42900,44400,T0000091
flat,0.1996,445.5045,43900,42900,41900,44400,T0000091
short-dr,0.0071,459.1718,35600,29700,27300,45400,T0000091
short,0.0112,464.194,70800,70300,68300,70800,T0000091
short,0.0061,464.2954,62000,61000,58100,62000,T0000091
flat,0.022,479.5299,60000,60000,59500,61000,T0000091
flat,0.068,479.7542,60500,61500,56600,62900,T0000091
flat,0.0128,495.7306,59000,59000,58100,59500,T0000091
short,0.0025,495.7752,60000,59500,59000,60000,T0000091
short,0.0087,496.0307,58500,59000,57100,60000,T0000091
short,0.0005,522.1893,68800,68800,67800,68800,T0000091
flat,0.0824,563.7683,46800,46800,45800,47800,T0000091
short,0.0087,598.8157,58100,58100,54600,59000,T0000091
flat,0.0302,598.958,55600,56100,53200,57100,T0000091
short,0.0102,599.2929,54600,54600,53700,55100,T0000091
flat,0.0537,599.3569,57100,57100,51700,58100,T0000091
short-c,0.0071,599.8305,63400,65900,61000,66800,T0000091
flat,0.0158,686.6314,31200,31200,30700,31200,T0000091
short,0.0102,686.7824,29700,29700,29700,30200,T0000091
short,0.0092,687.5064,34600,34600,33200,35600,T0000091
flat,0.0138,687.9677,33600,33600,33200,34100,T0000091
short,0.0056,688.1198,34100,34100,33600,34100,T0000091
short-su,0.0066,688.4295,49300,49300,30200,49800,T0000091
flat,0.0168,712.3773,46800,46300,46800,47300,T0000091
short,0.0025,728.2058,54100,54100,54100,54600,T0000091
flat,0.0389,741.8071,46300,45800,45800,46300,T0000091
short-c,0.0056,742.6734,104400,104000,103000,104900,T0000091
flat,0.0317,767.7496,56600,56600,55100,58100,T0000091
short,0.001,829.1343,105900,105900,105400,105900,T0000091
flat harmX,0.0512,952.7813,58500,56600,54600,58500,T0000091
short,0.0046,953.2456,61500,61000,60000,61500,T0000091
short,0.0005,953.9107,87800,87800,87800,88800,T0000091
short,0.004,955.2465,57600,58100,56100,60000,T0000091
flat-z,0.0266,1030.124,79500,85900,79100,86400,T0000091
short,0.0102,1075.8742,,93200,119600,0,T0000091
short-ur,0.0066,1076.3023,98600,98100,94700,99100,T0000091
short,0.0056,1080.1602,83400,83400,83400,83900,T0000091
flat,0.0235,1099.2983,53700,53700,53200,54100,T0000091
short,0.0046,1099.4903,58100,57600,55600,58100,T0000091
flat,0.0353,1100.0222,56100,53700,52200,57100,T0000091
flat-z,0.0855,1100.2802,52700,52200,46300,52700,T0000091
flat,0.0906,1101.0789,53200,52700,52200,53700,T0000091
short,0.0025,1102.4071,78100,77600,77100,78100,T0000091
flat,0.0112,1103.3543,54100,54600,54100,54600,T0000091
short,0.0056,1103.3881,84400,84400,84400,84900,T0000091
short,0.003,1104.6614,78100,78100,78100,78600,T0000091
short,0.0076,1105.1673,95700,96100,95200,97100,T0000091
short-c,0.0025,1306.501,101500,103000,101500,104000,T0000091
short-ur,0.0005,1309.1661,105900,105900,105900,107900,T0000091
short-c,0.0035,1328.5411,109800,110300,108800,111300,T0000091
short-ur,0.0025,1332.465,107900,107900,103500,108300,T0000091
unclear,0.0005,1339.6341,117600,117600,109800,117600,T0000091
short,0.0076,1341.1701,102000,102000,102000,102000,T0000091
short,0.0015,1341.637,,101000,119600,0,T0000091
short,0.0092,1375.8443,70300,70300,68300,70800,T0000091
flat,0.0399,1376.28,52700,52700,52700,52700,T0000091
flat,0.0184,1376.5452,55600,55100,55100,55600,T0000091
flat,0.0174,1382.8065,73200,73200,29200,74700,T0000091
flat,0.0343,1383.8065,43400,42900,43400,43400,T0000091
flat,0.023,1385.4725,53700,53200,50700,53700,T0000091
flat,0.0783,1385.7161,52700,53200,47800,54100,T0000091
flat-z harmx,0.0778,1385.988,55100,55100,46800,55600,T0000091
flat harmx,0.0337,1386.501,55100,55100,51200,56100,T0000091
flat,0.0322,1387.2844,57600,58100,55600,58500,T0000091
step up,0.0174,1387.7893,76100,46800,76100,76600,T0000091
flat,0.0143,1389.6853,47800,47300,46800,47800,T0000091
inverted-u harmx,0.0322,1390.1665,56600,56100,51200,56600,T0000091
flat,0.0424,1390.4261,57600,57100,55100,57600,T0000091
short,0.001,1391.1695,98100,97600,97600,98100,T0000091
short,0.0035,1391.4782,97600,97100,97600,97600,T0000091
complex,0.0506,1391.8331,59000,56100,53200,61000,T0000091
flat,0.0245,1396.8215,,55600,119600,0,T0000091
flat,0.0204,1397.3365,46800,46800,45800,47300,T0000091
flat,0.024,1403.5205,46300,45800,44900,46800,T0000091
short,0.0005,1407.0312,92200,92200,92200,95700,T0000091
flat,0.0706,1407.6159,58100,58100,54600,60500,T0000091
trill,0.0517,1408.1822,64400,64900,47300,66400,T0000091
short,0.0056,1419.0561,71700,71700,70300,72200,T0000091
short,0.0102,1419.3433,70300,70800,69300,72700,T0000091
short-c,0.0097,1426.7642,79100,78600,76100,79500,T0000091
multi-step,0.0399,1427.01,68300,44400,44400,84400,T0000091
short,0.001,1428.7795,56600,56600,56100,57100,T0000091
flat,0.0276,1428.91,45800,45400,44400,46300,T0000091
flat,0.023,1430.8095,44900,44900,44400,45800,T0000091
flat harmx,0.1274,1433.6312,44400,43900,42400,86400,T0000091
flat harmx,0.0793,1433.9384,43900,43400,42400,43900,T0000091
short,0.0056,1434.9583,75600,75600,75100,76100,T0000091
short,0.0071,1435.2855,70300,69800,69300,70300,T0000091
flat,0.0184,1441.0224,80000,80500,77600,82000,T0000091
complex,0.0604,1441.2595,50200,50200,43900,50700,T0000091
flat,0.0128,1441.3481,66800,67300,66400,67800,T0000091
flat,0.0235,1441.5902,45400,44900,45400,45400,T0000091
short,0.0025,1441.9702,70800,70300,70300,70800,T0000091
short,0.0005,1449.5134,69300,69300,69300,69800,T0000091
flat-z harmx,0.0348,1449.711,51700,51700,44900,52700,T0000091
short,0.0092,1450.8312,78100,77600,77100,78100,T0000091
short,0.0056,1451.1042,80500,80500,79500,81000,T0000091
trill-f,0.0158,1454.533,55600,51700,48800,56100,T0000091
short,0.0046,1454.8403,77100,77100,76600,77600,T0000091
flat,0.0235,1458.0971,44400,44400,43400,45400,T0000091
flat,0.0271,1458.8123,45800,45800,43900,46300,T0000091
flat,0.0235,1459.0874,44400,43900,42900,44900,T0000091
flat,0.0168,1459.6521,44900,44900,43400,45800,T0000091
short,0.0076,1465.0593,45800,45400,44900,46300,T0000091
trill,0.0184,1465.4832,63400,62900,59000,66400,T0000091
flat,0.0194,1482.2143,44900,44400,43400,45400,T0000091
flat,0.0276,1489.368,45400,44900,44900,45400,T0000091
step up harmx,0.0885,1490.2082,44900,45800,44400,86400,T0000091
flat-z,0.0691,1490.4945,44900,45800,44400,50700,T0000091
step up,0.0465,1490.798,68300,66800,67300,68300,T0000091
flat,0.0696,1491.3623,47800,46800,43400,47800,T0000091
flat-z,0.0245,1501.9182,78100,77600,69800,78100,T0000091
short,0.0051,1502.6354,68800,68800,67800,69300,T0000091
step up harmx,0.0993,1504.5775,45800,68800,42400,70300,T0000091
short,0.0107,1505.1151,77600,78100,77600,78600,T0000091
short,0.0107,1505.3741,77600,78100,76600,79100,T0000091
step up,0.0445,1508.1,72200,71700,45800,74700,T0000091
flat,0.0373,1512.0424,61500,61000,60000,61500,T0000091
short,0.0081,1512.1274,62000,61500,61000,62000,T0000091
short,0.0076,1512.387,53700,53200,53200,53700,T0000091
flat,0.0619,1512.5811,60000,60000,53200,60500,T0000091
flat,0.0194,1512.8944,57100,56600,54600,57100,T0000091
short-ur,0.003,1513.9604,62500,63400,62500,63400,T0000091
short,0.0071,1515.1145,60000,60000,59000,63400,T0000091
short,0.0025,1515.4042,61000,61000,60000,61500,T0000091
short,0.0071,1526.8265,86400,85900,85900,86400,T0000091
flat,0.0138,1532.7841,80000,79500,29200,80000,T0000091
short,0.0056,1533.0882,87400,87800,86400,88300,T0000091
flat,0.1602,1533.8393,46800,46300,43900,47300,T0000091
flat,0.0896,1534.1634,44900,44900,42900,45800,T0000091
flat,0.025,1535.0205,77600,77600,76600,78100,T0000091
short,0.0081,1535.0773,80500,80500,80000,81000,T0000091
unclear,0.0542,1535.5192,25800,46300,24900,47800,T0000091
flat,0.0184,1535.8935,73200,73200,72200,74700,T0000091
short-c,0.0087,1536.751,81000,81500,80000,82000,T0000091
short,0.0046,1540.6402,73700,73700,73200,73700,T0000091
step up,0.0419,1542.3615,77100,46800,45800,78100,T0000091
flat,0.0885,1564.1481,57100,59000,56100,60000,T0000091
flat,0.0122,1565.0084,58500,58100,57100,59000,T0000091
flat,0.0128,1602.4539,96600,97100,96100,97600,T0000091
short,0.0056,1612.9741,55600,55600,54600,57100,T0000091
flat,0.0184,1636.3812,79500,79100,78600,79500,T0000091
flat,0.0163,1641.1925,77600,77600,77100,78100,T0000091
flat,0.0675,1742.0743,44900,44900,44400,45800,T0000091
flat,0.0624,1742.8342,44900,45400,44400,45800,T0000091
flat,0.0614,1757.4973,47800,47300,45800,47800,T0000091
flat,0.0547,1765.2572,58500,58500,57600,59500,T0000091
flat,0.0778,1765.3759,58500,58500,56600,59000,T0000091
short,0.0061,1765.4804,62500,62000,60500,62900,T0000091
flat-z - harmx,0.0271,0.2805,57100,57100,50200,57600,T0000096
flat-z - harmx,0.0926,0.3312,51200,57600,47800,58500,T0000096
flat-z - harmx,0.065,0.4551,57100,58100,50200,58500,T0000096
flat - harmx,0.0363,0.9384,55100,55600,53700,56600,T0000096
complex,0.088,1.3859,62500,62500,48300,63400,T0000096
short,0.0097,3.075,51200,50700,49800,51200,T0000096
flat - harmx,0.1274,5.4778,50700,49800,48300,51200,T0000096
short,0.003,5.6632,56100,56600,56100,57100,T0000096
flat-z,0.1136,5.7446,56100,48300,47800,56100,T0000096
flat-mz,0.087,6.2453,49800,49800,49300,57100,T0000096
flat-z,0.0491,6.7302,56600,56600,49800,57600,T0000096
short,0.003,7.0912,54600,55100,54600,55100,T0000096
short,0.0076,7.4762,58500,59000,57600,59500,T0000096
short,0.002,7.745,50700,50700,50200,51200,T0000096
flat,0.0209,7.9416,50200,50700,50200,51200,T0000096
flat,0.0194,8.0005,56600,55600,50700,57100,T0000096
flat,0.0302,9.1904,50200,50200,49800,51200,T0000096
flat,0.0291,12.7001,50700,49800,48300,56100,T0000096
flat,0.0256,15.0205,58100,57600,57100,58500,T0000096
flat,0.0803,15.2007,47800,47300,46800,49300,T0000096
flat,0.0501,16.7726,50200,49300,47300,50700,T0000096
short,0.0102,17.8877,49800,49800,48300,50700,T0000096
trill,0.0404,22.8172,50200,66800,49300,75100,T0000096
trill,0.0471,23.5745,62500,62500,42900,67800,T0000096
trill,0.0194,24.1408,73700,73200,62000,75600,T0000096
flat-z,0.0578,24.5708,48800,49300,47800,59000,T0000096
flat-z - harmx,0.0839,24.811,50200,56600,46800,58500,T0000096
flat-z - harmx,0.0532,25.0465,56600,56100,46300,57100,T0000096
flat-z - harmx,0.045,25.2748,56100,55600,47800,56100,T0000096
short,0.0051,28.4938,63400,63400,62900,63900,T0000096
flat,0.0235,30.379,49300,48800,47300,50200,T0000096
flat,0.0281,34.5958,49300,48800,48800,49800,T0000096
trill-c,0.0389,35.713,53200,53200,50700,73200,T0000096
flat,0.0312,36.4579,110800,110800,110800,112700,T0000096
short,0.002,37.3928,64400,64900,64400,65400,T0000096
trill,0.0358,37.6468,67800,66800,64900,68300,T0000096
short,0.002,37.8767,66800,66400,65900,66800,T0000096
flat-z - harmx,0.0552,39.0922,50200,56100,45400,57600,T0000096
flat,0.0209,39.3533,48800,48800,47800,49800,T0000096
flat-z - harmx,0.0686,44.0494,50200,49300,45400,57100,T0000096
trill,0.066,45.8081,65900,65900,42900,76600,T0000096
trill,0.0296,46.87,67800,67300,48800,71700,T0000096
flat,0.0209,48.662,60000,61000,59500,61500,T0000096
short,0.004,50.1652,31700,31200,31200,31700,T0000096
short,0.001,51.051,83400,83400,83400,83400,T0000096
short-c,0.0066,52.0688,67800,65400,63900,69300,T0000096
step up,0.0148,52.588,64900,50200,48800,65400,T0000096
short,0.0025,52.6694,82000,82000,80000,82500,T0000096
flat-z,0.023,53.0826,49800,49800,48300,55600,T0000096
flat-z,0.0849,53.3032,55600,49800,47300,57100,T0000096
short-c,0.0066,53.6422,59500,61000,59500,63400,T0000096
complex,0.0727,53.7697,58500,59000,52200,63900,T0000096
short,0.0056,54.0195,58100,58100,57600,58500,T0000096
trill,0.0179,54.0687,62900,61000,60000,75600,T0000096
flat,0.0184,54.208,57600,57100,56100,58100,T0000096
complex,0.0691,54.444,62000,61000,59500,63900,T0000096
flat - harmx,0.0512,54.8321,52200,51700,47300,52700,T0000096
trill,0.0307,54.9406,64400,62500,54100,65900,T0000096
complex - harmx,0.0798,55.0563,55100,55600,51700,60500,T0000096
complex,0.0855,55.2791,63400,60000,58100,65400,T0000096
flat-z - harmx,0.0849,56.1535,60000,58100,51200,62500,T0000096
flat,0.0409,56.4449,51700,51200,50200,53200,T0000096
flat-z,0.1003,57.3772,50200,50200,48800,57600,T0000096
short,0.0071,57.8303,58500,58100,57100,58500,T0000096
flat-z,0.0373,57.8636,50700,50200,48300,56100,T0000096
flat-z,0.0445,58.0771,51700,50700,49800,59000,T0000096
flat-z,0.0414,58.2835,51200,50700,49800,56600,T0000096
flat-z,0.0409,58.5041,50700,56100,49800,57600,T0000096
flat,0.0204,58.9347,60000,59500,58500,61000,T0000096
trill,0.0419,73.7233,67800,67800,40500,86900,T0000096
trill,0.0337,74.2195,68300,67800,44400,68800,T0000096
trill,0.0409,74.4478,62900,62900,43900,94200,T0000096
trill,0.0189,75.0259,61000,60000,52700,61000,T0000096
trill,0.0394,75.2573,29200,51700,29200,60000,T0000096
flat,0.022,76.9561,49800,48800,47800,50700,T0000096
flat - harmx,0.0947,77.2008,48300,47800,46300,49800,T0000096
trill,0.0307,79.6395,61500,61500,53700,62500,T0000096
trill-c,0.0409,80.3609,65400,48300,45800,76600,T0000096
trill,0.0307,81.5784,69300,66400,63400,75100,T0000096
trill,0.0435,81.8775,70300,69300,46800,76100,T0000096
trill,0.0194,82.3628,65400,64900,42400,67300,T0000096
short,0.0087,82.5159,113700,114200,112700,115200,T0000096
short,0.0056,98.1207,61000,61000,60500,61500,T0000096
short,0.0092,101.4671,59500,59500,59000,60500,T0000096
trill,0.043,106.3536,69300,69300,39000,71700,T0000096
complex,0.0901,111.3456,62900,62500,57100,67800,T0000096
short,0.0046,111.7378,57600,57600,56600,58100,T0000096
flat-z,0.0158,111.9989,55100,54600,49300,55600,T0000096
short,0.0061,112.4167,56100,56100,49300,56600,T0000096
short,0.003,112.748,46800,47300,46800,47300,T0000096
trill,0.0296,117.1783,65400,64400,40500,75600,T0000096
short,0.002,118.913,104400,105400,104400,105900,T0000096
short,0.0046,124.099,30200,30700,30200,31200,T0000096
flat,0.0174,124.2352,28300,28300,27800,29200,T0000096
complex,0.0486,126.402,31700,32200,26800,33200,T0000096
short,0.0035,144.6855,31200,34100,31200,34600,T0000096
flat,0.0302,155.3095,61500,61500,60000,62500,T0000096
short-c,0.003,267.375,83000,83000,81500,83000,T0000096
short,0.0117,278.6908,102500,103000,102500,103500,T0000096
short,0.0051,435.8026,72700,72200,71700,72700,T0000096
short-c,0.0102,441.6957,62000,61500,58100,62500,T0000096
flat,0.0158,518.4635,57600,57100,56600,58100,T0000096
short,0.002,576.9605,60000,59500,58500,60000,T0000096
unclear,0.043,597.3949,29200,28300,27800,43400,T0000096
flat,0.0245,598.0114,28800,28800,27800,29700,T0000096
flat,0.0107,598.1926,26800,26800,26800,27300,T0000096
short,0.0087,627.7376,31700,31700,30700,32200,T0000096
short,0.0056,627.8712,31700,32200,29200,32700,T0000096
flat,0.0184,628.3494,27800,28300,26800,30200,T0000096
short,0.003,628.5194,44900,44900,44400,45400,T0000096
step down,0.0291,629.3375,26800,51200,26800,51700,T0000096
unclear,0.0261,630.7297,34600,43900,33600,44400,T0000096
step down,0.0153,631.2176,44400,44400,25800,44900,T0000096
short,0.0117,632.1853,27300,27300,25800,28800,T0000096
flat,0.0138,632.3143,28800,28300,27800,29200,T0000096
short,0.003,632.4567,29200,28800,28800,29200,T0000096
short-c,0.0061,632.5017,27300,35600,26800,36100,T0000096
flat,0.0179,632.6174,28800,28800,28300,29200,T0000096
unclear,0.0148,632.813,25300,30200,25300,30700,T0000096
trill,0.0266,640.5002,64900,67300,51700,73700,T0000096
complex,0.0296,652.9827,60500,60500,58500,64400,T0000096
short,0.0035,653.6309,103500,104000,103500,103500,T0000096
short,0.0035,734.2607,27300,27300,26800,27300,T0000096
short,0.002,734.9606,51700,51700,50700,52200,T0000096
short,0.0025,735.7685,29200,29700,29200,29700,T0000096
short,0.0046,738.2061,32200,31700,30700,32200,T0000096
short,0.003,742.4732,69800,69300,68300,70800,T0000096
short-su,0.0112,744.6681,59500,60000,38500,59500,T0000096
short,0.0051,744.9891,31200,31200,30700,31700,T0000096
short,0.003,745.8314,39000,39500,38500,40000,T0000096
short,0.0035,746.2656,31200,31700,31200,31200,T0000096
short-ur,0.0046,771.5491,39000,40000,39000,49800,T0000096
flat,0.0138,771.8358,46300,45800,45400,46300,T0000096
flat-z,0.1658,926.8526,48800,48300,46300,56100,T0000096
flat,0.0348,1012.1881,57600,56600,57100,57600,T0000096
short,0.0081,1323.9454,55600,56600,54600,55600,T0000096
short,0.0071,1324.3775,55100,55100,54100,55100,T0000096
short,0.0107,1535.8961,55100,54600,53700,55100,T0000096
short,0.0051,1536.1254,54100,67300,54100,55100,T0000096
short,0.0056,1538.2619,51700,50200,49800,51700,T0000096
upward ramp,0.0153,0.0112,88800,92700,86900,94200,T0000124
complex - harmx,0.1443,0.9006,48800,48300,41900,50700,T0000124
short-c,0.0061,1.5923,96100,95200,87400,98600,T0000124
short-c,0.0051,2.0305,97100,95200,89800,97100,T0000124
short-c,0.003,2.3546,96100,96100,92700,97100,T0000124
short-c,0.0025,2.6158,83900,83900,83900,84900,T0000124
short-c,0.003,3.1144,86900,86900,84900,86900,T0000124
short,0.0046,3.8548,87400,87400,87400,88300,T0000124
trill,0.0399,4.2265,66400,65400,41500,66400,T0000124
short-c,0.0081,4.5409,96600,96600,93200,99100,T0000124
short-c,0.0076,5.0728,96600,96100,88300,97100,T0000124
short-c,0.004,5.4179,92200,91700,88800,92700,T0000124
short,0.003,5.7748,83400,83400,83000,83900,T0000124
short-ur,0.0102,5.8342,98100,97600,84900,98100,T0000124
short-c,0.0046,6.0764,99600,99100,93700,100500,T0000124
short-c,0.0097,6.3042,94200,93700,86900,94700,T0000124
short-c,0.004,6.5704,96100,96100,91300,97100,T0000124
short,0.0025,7.0952,101000,100000,99600,101000,T0000124
short,0.0015,8.2728,103000,103500,102500,103000,T0000124
short - harmonicx,0.0071,8.9507,56100,51200,45400,56100,T0000124
short,0.003,13.0493,104400,104000,103000,104400,T0000124
trill-c,0.0343,14.3764,54100,70300,39000,79500,T0000124
trill-c,0.0419,14.6769,54600,55100,38500,107900,T0000124
short-c,0.0066,16.1761,95700,96100,95200,98100,T0000124
short-c,0.0061,16.6978,94200,94200,84400,94700,T0000124
flat,0.0271,16.9338,53700,53200,51200,54100,T0000124
flat,0.0435,17.1857,61500,62000,56600,62900,T0000124
complex,0.045,17.3946,57600,55100,53200,59500,T0000124
flat,0.0168,17.8273,54100,54100,52700,54600,T0000124
short-c,0.0025,18.8226,97100,95700,95700,97100,T0000124
trill,0.0343,21.057,67300,51200,45400,68800,T0000124
flat,0.0163,21.2008,53200,53200,52200,54100,T0000124
short,0.0046,22.0026,53200,53200,52200,53700,T0000124
short-c,0.0102,22.0917,88800,90800,88800,91700,T0000124
short,0.0051,22.3523,78100,78100,78100,78600,T0000124
trill-c,0.0481,23.0461,55100,54100,48800,71700,T0000124
flat,0.0215,23.4833,53700,53700,50200,55100,T0000124
short,0.003,26.285,48800,48800,48300,49800,T0000124
trill,0.0373,26.3802,64400,64400,41500,78600,T0000124
trill-f,0.0245,26.4903,54600,55100,47300,59000,T0000124
trill,0.0199,27.3638,84400,83900,77600,84400,T0000124
trill,0.067,27.524,98600,98600,73200,100500,T0000124
flat,0.0307,27.7416,48800,48800,46300,49800,T0000124
short-su,0.0107,28.0381,70800,49300,48800,73700,T0000124
step up - harmx,0.0399,28.3048,73700,77100,48300,78100,T0000124
step up,0.088,28.524,85900,50700,48800,88300,T0000124
short,0.004,31.7352,82500,83900,81500,84900,T0000124
step up,0.0419,32.1576,57100,56600,52200,95700,T0000124
short,0.0066,34.8723,83400,83000,82500,83400,T0000124
trill-c,0.0373,39.5212,53700,51200,43900,76600,T0000124
short,0.004,42.5799,61000,61000,60000,61500,T0000124
short,0.0061,46.6001,42400,41900,41500,42900,T0000124
short,0.0046,49.6583,105900,106400,105400,107900,T0000124
short,0.0025,50.2159,74700,74700,51200,75600,T0000124
short-c,0.004,55.3809,45800,44900,41000,45800,T0000124
trill,0.0332,55.9841,43400,42900,42400,61500,T0000124
trill,0.0343,56.898,51200,66800,41500,78600,T0000124
short,0.0087,61.5731,51200,52200,50200,53200,T0000124
short-c,0.0107,61.6883,29700,86400,29700,88300,T0000124
complex - harmx,0.2237,63.1577,40000,40500,39000,45400,T0000124
complex - harmx,0.0983,63.5351,45400,41500,38500,45400,T0000124
complex,0.0317,63.9672,68300,67800,62000,72200,T0000124
flat-z - harmx,0.1853,64.8806,43900,47300,41000,47800,T0000124
short,0.004,66.7653,49800,49800,49300,50200,T0000124
short-c,0.0066,68.9822,76100,76600,71700,77600,T0000124
short-c,0.0061,69.0124,78600,78100,71700,78600,T0000124
short-c,0.0046,69.8245,106400,106400,104400,107400,T0000124
short-c,0.0035,71.6093,94200,93700,87800,94200,T0000124
trill-c,0.0501,77.3022,51200,52200,49300,71700,T0000124
complex,0.023,80.644,70300,64900,63900,71200,T0000124
trill,0.0547,81.8416,82500,82500,63400,83900,T0000124
short-c,0.0112,82.2983,69800,70800,68800,73200,T0000124
complex,0.0348,82.8334,77600,76600,69300,81500,T0000124
short,0.0071,82.9245,49300,48800,48800,49300,T0000124
flat,0.0261,82.9521,73700,73700,70800,74700,T0000124
flat,0.0593,83.1231,49300,48300,44400,50700,T0000124
short-dr,0.0035,83.2194,71200,71200,66800,71700,T0000124
short,0.0015,83.3976,67800,67800,66400,68300,T0000124
short-dr,0.0087,84.9914,75600,75100,75100,80500,T0000124
short-c,0.0035,85.5101,88800,89300,86900,90300,T0000124
unclear,0.1587,85.5669,50200,51700,29700,116200,T0000124
complex,0.0302,87.6646,61000,60500,55600,61000,T0000124
flat,0.0537,87.8213,56100,56100,52700,57600,T0000124
complex - harmx,0.0537,87.9144,59500,60000,52700,61500,T0000124
flat-z - harmx,0.2001,88.0691,60000,53700,44400,60000,T0000124
flat-z - harmx,0.1812,88.3696,53200,52700,42900,54100,T0000124
complex - harmx,0.1182,88.6558,55100,54100,42900,57100,T0000124
flat-z - harmx,0.151,89.668,49300,49300,43400,50200,T0000124
short,0.0046,90.3531,84400,84400,83000,85400,T0000124
complex,0.1049,90.692,51700,48300,44900,52200,T0000124
short,0.0071,90.8451,71200,72200,71200,72700,T0000124
short,0.0035,91.9403,62500,62500,62500,63400,T0000124
short,0.0066,92.0145,49800,49300,48800,49800,T0000124
short,0.0066,92.737,61000,61000,60000,62000,T0000124
trill,0.022,92.9244,56600,54100,56100,57100,T0000124
short-ur,0.0051,93.294,62000,62900,59500,63900,T0000124
short,0.0035,94.294,74700,74200,73700,74700,T0000124
flat,0.023,94.4675,79100,78100,75600,79500,T0000124
short,0.0035,100.5608,60500,60500,58100,60500,T0000124
flat-z,0.0266,101.6791,71200,71200,63900,72200,T0000124
step up,0.0424,102.124,69300,69800,41500,70800,T0000124
flat,0.0675,102.8766,49300,49800,46800,52200,T0000124
flat,0.0133,106.5205,85400,84900,84400,85400,T0000124
short,0.002,109.1604,95700,95200,94700,95700,T0000124
short-c,0.0056,109.9079,63400,63400,62500,62500,T0000124
short,0.004,117.2869,73200,72700,71200,73700,T0000124
short,0.002,118.0702,70800,69800,68800,71200,T0000124
short,0.002,118.3354,64400,63400,62900,65400,T0000124
flat,0.0844,119.4905,53700,52700,51200,53700,T0000124
complex,0.0455,119.7281,54100,52700,51700,55100,T0000124
complex,0.0471,125.4174,51700,51700,49300,52700,T0000124
short,0.003,125.9898,71700,71200,70800,71700,T0000124
step up,0.0988,126.1393,46800,47800,43400,72200,T0000124
step up,0.1136,126.9227,47300,47300,42400,71200,T0000124
flat,0.0343,130.5297,66800,66400,65900,67300,T0000124
short,0.002,134.4727,95700,96100,95200,96600,T0000124
short,0.0051,135.2386,89300,89800,89300,89300,T0000124
short,0.002,135.8336,92200,91700,90800,92200,T0000124
flat,0.0168,144.2979,70300,69800,68300,70800,T0000124
flat,0.0163,149.9043,50200,49800,48800,50200,T0000124
flat,0.068,150.1183,44900,44400,43400,45400,T0000124
flat,0.0711,150.8311,43400,43900,43400,44400,T0000124
flat-z,0.1044,151.3584,44900,43900,43400,48800,T0000124
flat,0.0204,155.6142,71200,70800,68300,71700,T0000124
short,0.0076,158.7834,68300,67800,67300,68800,T0000124
flat,0.0998,158.9821,43400,42400,41000,43900,T0000124
flat,0.024,159.2622,50700,50200,49300,51200,T0000124
flat,0.0199,161.6378,52200,52700,52200,52700,T0000124
flat,0.0368,162.8083,54100,54100,51200,54600,T0000124
flat,0.0286,163.8574,53200,53200,50700,54100,T0000124
flat,0.025,164.0647,51200,50700,50200,51700,T0000124
short,0.0061,164.1338,74200,73200,72700,74200,T0000124
flat-mz - harmx,0.1039,164.3217,49800,49300,44400,50200,T0000124
flat - harmx,0.0445,164.5629,50200,50200,48300,51200,T0000124
flat,0.024,164.7964,51700,51700,49800,53200,T0000124
