"unique.id","file.name","label","start.time","strain","rat.id","recording"
2139,"T0000085","flat-z",1190.3391,"SD","SD22","MBT"
2140,"T0000085","flat",1190.8884,"SD","SD22","MBT"
2141,"T0000085","flat-mz",1191.1434,"SD","SD22","MBT"
2142,"T0000085","flat",1191.4792,"SD","SD22","MBT"
2143,"T0000085","flat-z",1191.7363,"SD","SD22","MBT"
2144,"T0000085","flat under flat",1191.918,"SD","SD22","MBT"
2145,"T0000085","flat over flat",1192.194,"SD","SD22","MBT"
2146,"T0000085","flat-z",1193.3164,"SD","SD22","MBT"
2147,"T0000085","flat",1193.4141,"SD","SD22","MBT"
2148,"T0000085","short",1193.5252,"SD","SD22","MBT"
2149,"T0000085","flat",1193.6342,"SD","SD22","MBT"
2150,"T0000085","flat",1193.7929,"SD","SD22","MBT"
2151,"T0000085","flat over flat",1193.9522,"SD","SD22","MBT"
2152,"T0000085","flat-z",1194.0885,"SD","SD22","MBT"
2153,"T0000085","flat under flat",1194.2471,"SD","SD22","MBT"
2154,"T0000085","flat-mz und flat-z",1194.3792,"SD","SD22","MBT"
2155,"T0000085","flat",1194.586,"SD","SD22","MBT"
2156,"T0000085","flat under flat",1194.8262,"SD","SD22","MBT"
2157,"T0000085","flat",1195.0914,"SD","SD22","MBT"
2158,"T0000085","flat",1196.0852,"SD","SD22","MBT"
2159,"T0000085","flat",1208.0562,"SD","SD22","MBT"
2160,"T0000085","flat-z",1233.005,"SD","SD22","MBT"
2161,"T0000085","upward ramp",1250.2404,"SD","SD22","MBT"
2162,"T0000085","flat-mz",1255.748,"SD","SD22","MBT"
2163,"T0000085","flat-z",1255.9713,"SD","SD22","MBT"
2164,"T0000085","flat",1256.2524,"SD","SD22","MBT"
2165,"T0000085","flat",1256.4265,"SD","SD22","MBT"
2166,"T0000085","flat",1256.6892,"SD","SD22","MBT"
2167,"T0000085","flat-mz",1256.9113,"SD","SD22","MBT"
2168,"T0000085","flat",1257.0915,"SD","SD22","MBT"
2170,"T0000085","flat under flat",1257.5292,"SD","SD22","MBT"
2172,"T0000085","flat over flat",1258.0054,"SD","SD22","MBT"
2173,"T0000085","flat-z",1259.31,"SD","SD22","MBT"
2174,"T0000085","flat-z",1259.5343,"SD","SD22","MBT"
2175,"T0000085","short",1285.0252,"SD","SD22","MBT"
2176,"T0000085","flat",1295.3851,"SD","SD22","MBT"
2177,"T0000085","flat-z",1302.3795,"SD","SD22","MBT"
2178,"T0000085","flat-z",1302.6063,"SD","SD22","MBT"
2179,"T0000085","flat-z",1302.8193,"SD","SD22","MBT"
2180,"T0000085","flat-z",1303.0251,"SD","SD22","MBT"
2181,"T0000085","flat",1304.2774,"SD","SD22","MBT"
2182,"T0000085","flat",1304.4582,"SD","SD22","MBT"
2183,"T0000085","flat",1332.3094,"SD","SD22","MBT"
2184,"T0000085","flat",1336.7552,"SD","SD22","MBT"
2185,"T0000085","short-ur",1339.7032,"SD","SD22","MBT"
2186,"T0000085","flat",1369.2093,"SD","SD22","MBT"
2187,"T0000085","flat",1406.6872,"SD","SD22","MBT"
2188,"T0000085","flat",1424.2283,"SD","SD22","MBT"
2189,"T0000085","flat",1424.3164,"SD","SD22","MBT"
2190,"T0000085","flat",1424.5821,"SD","SD22","MBT"
2191,"T0000085","flat",1466.97,"SD","SD22","MBT"
2192,"T0000085","flat",1467.2742,"SD","SD22","MBT"
2193,"T0000085","flat",1501.2233,"SD","SD22","MBT"
2194,"T0000085","short",1510.512,"SD","SD22","MBT"
2195,"T0000085","flat",1512.3732,"SD","SD22","MBT"
2196,"T0000085","flat",1513.6865,"SD","SD22","MBT"
2197,"T0000085","flat",1513.9511,"SD","SD22","MBT"
2198,"T0000085","flat",1514.4525,"SD","SD22","MBT"
2199,"T0000085","flat",1514.8585,"SD","SD22","MBT"
2200,"T0000085","flat-z",1514.9184,"SD","SD22","MBT"
2201,"T0000085","flat",1515.1083,"SD","SD22","MBT"
2202,"T0000085","flat",1515.2041,"SD","SD22","MBT"
2203,"T0000085","flat",1515.3613,"SD","SD22","MBT"
2204,"T0000085","short",1515.4451,"SD","SD22","MBT"
2205,"T0000085","flat-z under inverted-u",1515.5594,"SD","SD22","MBT"
2206,"T0000085","short",1515.7902,"SD","SD22","MBT"
2207,"T0000085","short",1516.4195,"SD","SD22","MBT"
2208,"T0000085","flat",1517.8951,"SD","SD22","MBT"
2209,"T0000085","short",1518.2341,"SD","SD22","MBT"
2210,"T0000085","flat-z",1518.9313,"SD","SD22","MBT"
2211,"T0000085","short",1519.1751,"SD","SD22","MBT"
2212,"T0000085","flat",1519.2801,"SD","SD22","MBT"
2213,"T0000085","short",1519.3385,"SD","SD22","MBT"
2215,"T0000085","flat",1519.7015,"SD","SD22","MBT"
2216,"T0000085","flat-z over flat",1519.8074,"SD","SD22","MBT"
2217,"T0000085","flat-mz",1520.2944,"SD","SD22","MBT"
2218,"T0000085","flat",1520.9261,"SD","SD22","MBT"
2219,"T0000085","short",1521.0885,"SD","SD22","MBT"
2220,"T0000085","complex",1521.2702,"SD","SD22","MBT"
2221,"T0000085","flat",1521.3931,"SD","SD22","MBT"
2222,"T0000085","flat under flat",1521.5012,"SD","SD22","MBT"
2223,"T0000085","flat under flat",1521.6972,"SD","SD22","MBT"
2224,"T0000085","flat",1521.8764,"SD","SD22","MBT"
2225,"T0000085","flat",1522.0541,"SD","SD22","MBT"
2226,"T0000085","short",1522.1114,"SD","SD22","MBT"
2227,"T0000085","step down",1522.2861,"SD","SD22","MBT"
2228,"T0000085","flat",1522.4161,"SD","SD22","MBT"
2229,"T0000085","short",1522.6081,"SD","SD22","MBT"
2230,"T0000085","flat",1522.8641,"SD","SD22","MBT"
2231,"T0000085","flat",1523.2614,"SD","SD22","MBT"
2232,"T0000085","flat",1523.3499,"SD","SD22","MBT"
2233,"T0000085","flat",1523.4631,"SD","SD22","MBT"
2234,"T0000085","flat",1523.6352,"SD","SD22","MBT"
2235,"T0000085","flat",1524.3054,"SD","SD22","MBT"
2236,"T0000085","flat",1525.5152,"SD","SD22","MBT"
2237,"T0000085","short",1525.6274,"SD","SD22","MBT"
2238,"T0000085","upward ramp",1525.7702,"SD","SD22","MBT"
2239,"T0000085","short",1526.0913,"SD","SD22","MBT"
2240,"T0000085","short",1526.4154,"SD","SD22","MBT"
