"file.name","behavior","label","strain","rat.id","recording","usv.count","total","percent"
"T0000242","Hover","trill-c","SD","SD76","MBT",0,284,0
"T0000254","Hover","trill-c","SD","SD78","MBT",0,169,0
"T0000303","Hover","trill-c","WK","WK95","MBT",0,62,0
"T0000085","LKP","trill-c","SD","SD22","MBT",0,80,0
"T0000091","LKP","trill-c","WK","WK21","MBT",1,102,0.00980392156862745
"T0000096","LKP","trill-c","WK","WK2A3C1","MBT",0,16,0
"T0000105","LKP","trill-c","SD","SD17","MBT",0,230,0
"T0000124","LKP","trill-c","WK","WK26","MBT",0,29,0
"T0000141","LKP","trill-c","SD","SD24","MBT",0,5,0
"T0000152","LKP","trill-c","SD","SD25E4","MBT",0,57,0
"T0000155","LKP","trill-c","SD","SD17E3","MBT",0,6,0
"T0000185","LKP","trill-c","WK","WK29E2","MBT",0,0,NA
"T0000190","LKP","trill-c","WK","WK34G1","MBT",0,1,0
"T0000195","LKP","trill-c","SD","SD31E5","MBT",0,12,0
"T0000228","LKP","trill-c","WK","WK77","MBT",0,10,0
"T0000242","LKP","trill-c","SD","SD76","MBT",0,0,NA
"T0000254","LKP","trill-c","SD","SD78","MBT",0,0,NA
"T0000303","LKP","trill-c","WK","WK95","MBT",0,13,0
